CRASH DATE,CRASH TIME,CRASH_DATETIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,COLLISION_ID,UNIQUE_ID,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,COMPLAINT,PED_ROLE,PERSON_SEX,YEAR,INJURY_TYPE
2021-09-12,09:13:00,2021-09-12 09:13:00,NONE,,40.84023,-73.880104,"(40.84023, -73.880104)",EAST TREMONT AVENUE,BOSTON ROAD,0.0,0.0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,TAXI,BOX TRUCK,4456101,11944274,7A59343A-6A45-4531-89FE-8A50D503CF4E,OCCUPANT,UNSPECIFIED,20059730.0,67.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-04-19,15:55:00,2021-04-19 15:55:00,BRONX,10452,40.83611,-73.92238,"(40.83611, -73.92238)",JEROME AVENUE,EAST 167 STREET,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,SEDAN,SEDAN,4409072,11816415,474AA443-D223-403E-AF7F-56FF477A80F7,OCCUPANT,UNSPECIFIED,19984540.0,29.0,,,,,,,REGISTRANT,F,2021,MOTORIST
2021-12-15,10:52:00,2021-12-15 10:52:00,NONE,,40.59455,-73.997574,"(40.59455, -73.997574)",BELT PARKWAY,,0.0,0.0,0,0,0,0,0,0,TIRE FAILURE/INADEQUATE,,SEDAN,,4486670,12061742,F801CF59-0CA4-43D4-8DDB-179DCE4970DE,OCCUPANT,UNSPECIFIED,20127460.0,,,,,,,,REGISTRANT,F,2021,MOTORIST
2021-12-15,08:35:00,2021-12-15 08:35:00,MANHATTAN,10000,40.780434,-73.9616,"(40.780434, -73.9616)",,,1.0,0.0,0,0,0,0,1,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,BUS,SEDAN,4486886,12061112,4EE955E1-7288-400D-AE27-FAD3B263EBF1,OCCUPANT,UNSPECIFIED,20127093.0,5.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"MIDDLE FRONT SEAT, OR PASSENGER LYING ACROSS A SEAT",,DOES NOT APPLY,PASSENGER,F,2021,MOTORIST
2021-09-13,10:15:00,2021-09-13 10:15:00,NONE,,40.689495,-73.75283,"(40.689495, -73.75283)",197 STREET,120 AVENUE,0.0,0.0,0,0,0,0,0,0,PASSING TOO CLOSELY,UNSPECIFIED,CONVERTIBLE,STATION WAGON/SPORT UTILITY VEHICLE,4456902,11948119,93000776-5F87-4146-8682-1AF13A70D3C0,OCCUPANT,UNSPECIFIED,20061994.0,,,,,,,,REGISTRANT,U,2021,MOTORIST
2021-09-13,03:20:00,2021-09-13 03:20:00,MANHATTAN,10001,40.7491,-73.99201,"(40.7491, -73.99201)",WEST 31 STREET,7 AVENUE,2.0,0.0,0,0,0,0,2,0,REACTION TO UNINVOLVED VEHICLE,FOLLOWING TOO CLOSELY,SEDAN,DUMP,4457416,12037607,46A51187-D532-4909-9EA2-A3D336692C26,OCCUPANT,UNSPECIFIED,20113455.0,61.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-09-13,10:45:00,2021-09-13 10:45:00,NONE,,40.809643,-73.91037,"(40.809643, -73.91037)",JACKSON AVENUE,,0.0,0.0,0,0,0,0,0,0,PASSING TOO CLOSELY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,PICK-UP TRUCK,4456993,11947979,DA1B0E94-5C3C-438E-83F8-6517DDC747A7,OCCUPANT,UNSPECIFIED,20061921.0,53.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2021,MOTORIST
2021-12-16,16:57:00,2021-12-16 16:57:00,NONE,,40.692345,-73.88179,"(40.692345, -73.88179)",JACKIE ROBINSON PKWY,,2.0,0.0,0,0,0,0,2,0,UNSAFE LANE CHANGING,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4487099,12070177,F51AB8E2-4678-4ED6-8B91-6176F8EDE7A2,OCCUPANT,UNSPECIFIED,20132211.0,21.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2021,MOTORIST
2021-04-22,19:07:00,2021-04-22 19:07:00,QUEENS,11435,40.704483,-73.81419,"(40.704483, -73.81419)",,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,SEDAN,4409688,11802524,DC1551BB-C1EF-406D-99A3-6818D6EB209D,OCCUPANT,UNSPECIFIED,19976440.0,,,,,,,,REGISTRANT,U,2021,MOTORIST
2021-04-20,16:00:00,2021-04-20 16:00:00,BROOKLYN,11211,40.708675,-73.956314,"(40.708675, -73.956314)",SOUTH 5 STREET,RODNEY STREET,1.0,0.0,0,0,0,0,1,0,PASSING OR LANE USAGE IMPROPER,UNSPECIFIED,MOTORCYCLE,,4409881,11794259,43E277F0-EE11-432E-8E83-2A35474A116E,OCCUPANT,INJURED,19971552.0,44.0,NOT EJECTED,CONSCIOUS,ENTIRE BODY,DRIVER,HELMET (MOTORCYCLE ONLY),COMPLAINT OF PAIN OR NAUSEA,DRIVER,M,2021,MOTORIST
2021-04-23,18:58:00,2021-04-23 18:58:00,QUEENS,11103,40.768646,-73.90973,"(40.768646, -73.90973)",,,2.0,0.0,0,0,0,0,2,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,SEDAN,SEDAN,4409875,11814373,B5DF784F-2305-43D7-B87C-C175EA10DF2D,OCCUPANT,UNSPECIFIED,19983307.0,,,,,,,,REGISTRANT,,2021,MOTORIST
2021-04-23,00:23:00,2021-04-23 00:23:00,NONE,,40.67608,-73.906136,"(40.67608, -73.906136)",ATLANTIC AVENUE,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,AMBULANCE,SEDAN,4410101,11800988,13447907-8B15-4E05-9176-60600E536DA7,OCCUPANT,UNSPECIFIED,19975537.0,31.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",UNKNOWN,DOES NOT APPLY,PASSENGER,M,2021,MOTORIST
2021-04-21,00:05:00,2021-04-21 00:05:00,MANHATTAN,10040,40.859325,-73.93132,"(40.859325, -73.93132)",BROADWAY,BENNETT AVENUE,3.0,0.0,0,0,0,0,3,0,UNSAFE SPEED,UNSPECIFIED,SEDAN,OPEN BODY,4409475,11760168,0396E285-827F-4A2B-BDA8-01838B7E62A3,OCCUPANT,UNSPECIFIED,19951799.0,49.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-04-21,00:35:00,2021-04-21 00:35:00,BROOKLYN,11203,40.65362,-73.933525,"(40.65362, -73.933525)",LINDEN BOULEVARD,SCHENECTADY AVENUE,1.0,0.0,1,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,,STATION WAGON/SPORT UTILITY VEHICLE,,4409123,11824833,4891C855-E6F4-4BD9-B244-DEC2B1A74831,PEDESTRIAN,INJURED,,45.0,,CONSCIOUS,HEAD,,,MINOR BLEEDING,PEDESTRIAN,M,2021,PEDESTRIAN
2021-04-22,13:30:00,2021-04-22 13:30:00,MANHATTAN,10065,40.761787,-73.95745,"(40.761787, -73.95745)",YORK AVENUE,EAST 64 STREET,0.0,0.0,0,0,0,0,0,0,OUTSIDE CAR DISTRACTION,UNSPECIFIED,SEDAN,SEDAN,4409777,11786821,DB817591-C442-4797-A413-351C31688208,OCCUPANT,UNSPECIFIED,19967246.0,40.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-04-21,23:00:00,2021-04-21 23:00:00,NONE,,40.83761,-73.88106,"(40.83761, -73.88106)",CROSS BRONX EXPY,,1.0,0.0,0,0,0,0,1,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,SEDAN,4409503,11783673,5232DF01-A38E-439A-A679-F6F43DD05C89,OCCUPANT,UNSPECIFIED,19965450.0,,,,,,,,REGISTRANT,,2021,MOTORIST
2021-04-21,18:00:00,2021-04-21 18:00:00,BROOKLYN,11238,40.674664,-73.97025,"(40.674664, -73.97025)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,BUS,4409418,11757626,E3E56D57-960C-4E85-8910-FA775EB257ED,OCCUPANT,UNSPECIFIED,19950341.0,66.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-09-10,00:10:00,2021-09-10 00:10:00,NONE,,40.848625,-73.93425,"(40.848625, -73.93425)",SAINT NICHOLAS AVENUE,,0.0,0.0,0,0,0,0,0,0,UNSAFE SPEED,UNSPECIFIED,SEDAN,SEDAN,4457896,11951348,0A799990-8117-4AD0-B575-1BE3863840CC,OCCUPANT,UNSPECIFIED,20063856.0,20.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-24,14:15:00,2021-04-24 14:15:00,BROOKLYN,11231,40.680042,-74.007065,"(40.680042, -74.007065)",RICHARDS STREET,COMMERCE STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,AMBULANCE,,4410811,11749294,C368CC20-7B7C-40B5-A4FC-EA5968073D21,OCCUPANT,UNSPECIFIED,19945569.0,,,,,,,,REGISTRANT,U,2021,MOTORIST
2021-12-15,00:00:00,2021-12-15 00:00:00,NONE,,40.798306,-73.93683,"(40.798306, -73.93683)",2 AVENUE,,0.0,0.0,0,0,0,0,0,0,TRAFFIC CONTROL DISREGARDED,UNSPECIFIED,SEDAN,E-BIKE,4486900,12061474,A0E43BA2-BE2A-41D3-A7C8-A6D203EF0072,OCCUPANT,UNSPECIFIED,20127313.0,43.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-12-16,16:12:00,2021-12-16 16:12:00,QUEENS,11433,40.696625,-73.7849,"(40.696625, -73.7849)",169 PLACE,109 AVENUE,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,SEDAN,SEDAN,4487088,12062851,C18B28A3-A624-4141-81D0-A42FE89F9BAD,OCCUPANT,UNSPECIFIED,20128078.0,31.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT,DOES NOT APPLY,DRIVER,F,2021,MOTORIST
2023-01-01,08:45:00,2023-01-01 08:45:00,BRONX,10457,40.84587,-73.89073,"(40.84587, -73.89073)",,,0.0,0.0,0,0,0,0,0,0,FELL ASLEEP,UNSPECIFIED,SEDAN,SEDAN,4598137,12487763,4E999665-0322-4B45-8C78-F3967C5B730E,OCCUPANT,UNSPECIFIED,20372240.0,27.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT,DOES NOT APPLY,DRIVER,M,2023,MOTORIST
2021-04-26,13:00:00,2021-04-26 13:00:00,BROOKLYN,11231,40.672928,-74.01069,"(40.672928, -74.01069)",OTSEGO STREET,VAN DYKE STREET,1.0,0.0,0,0,0,0,1,0,LOST CONSCIOUSNESS,,BUS,,4410794,11749840,6BCE6D71-C747-4824-82CA-D505751B7ADE,OCCUPANT,INJURED,19945871.0,55.0,NOT EJECTED,CONSCIOUS,NECK,DRIVER,LAP BELT & HARNESS,INTERNAL,DRIVER,M,2021,MOTORIST
2021-09-17,09:20:00,2021-09-17 09:20:00,BROOKLYN,11206,40.701077,-73.94043,"(40.701077, -73.94043)",SUMNER PLACE,FLUSHING AVENUE,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,BUS,SEDAN,4458346,11953693,2980FD14-4E11-495C-8B98-B038AA712DA7,OCCUPANT,UNSPECIFIED,20065246.0,29.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-27,04:40:00,2021-04-27 04:40:00,BROOKLYN,11208,40.671154,-73.87815,"(40.671154, -73.87815)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,SEDAN,SEDAN,4410899,11857854,0007479B-B052-49BB-928F-1DC68AB747EE,OCCUPANT,UNSPECIFIED,20009203.0,24.0,,,,,,,REGISTRANT,F,2021,MOTORIST
2021-04-27,14:50:00,2021-04-27 14:50:00,QUEENS,11412,40.70247,-73.7568,"(40.70247, -73.7568)",112 AVENUE,199 STREET,1.0,0.0,0,0,0,0,1,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4411100,11827175,8F47BE8B-5966-46D6-A6F7-57C5F56C21D2,OCCUPANT,UNSPECIFIED,19990991.0,48.0,,,,,,,REGISTRANT,F,2021,MOTORIST
2021-04-27,13:50:00,2021-04-27 13:50:00,BROOKLYN,11205,40.69314,-73.96969,"(40.69314, -73.96969)",,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,BUS,4411113,11759304,13611330-B501-43B1-9A6D-FF03908317CC,OCCUPANT,UNSPECIFIED,19951317.0,,,,,,,,REGISTRANT,,2021,MOTORIST
2021-04-27,12:45:00,2021-04-27 12:45:00,BRONX,10453,40.855785,-73.90558,"(40.855785, -73.90558)",JEROME AVENUE,WEST 181 STREET,1.0,0.0,0,0,0,0,1,0,OTHER VEHICULAR,UNSAFE SPEED,SEDAN,SEDAN,4411204,11792859,F6A33BF9-AD0D-4E3A-B9B0-A8824E096FA4,OCCUPANT,UNSPECIFIED,19970751.0,,,,,,,,REGISTRANT,U,2021,MOTORIST
2021-09-15,18:01:00,2021-09-15 18:01:00,QUEENS,11411,40.688934,-73.73225,"(40.688934, -73.73225)",231 STREET,119 AVENUE,2.0,0.0,0,0,0,0,2,0,UNSPECIFIED,UNSPECIFIED,SEDAN,SEDAN,4458883,11955665,031770F6-1076-45BB-8E8F-FA2226BD885A,OCCUPANT,UNSPECIFIED,20066405.0,42.0,,,,,,,REGISTRANT,F,2021,MOTORIST
2021-09-15,20:10:00,2021-09-15 20:10:00,MANHATTAN,10029,40.792187,-73.9382,"(40.792187, -73.9382)",1 AVENUE,EAST 110 STREET,0.0,0.0,0,0,0,0,0,0,AGGRESSIVE DRIVING/ROAD RAGE,FOLLOWING TOO CLOSELY,SEDAN,SEDAN,4457703,11949802,CF9CA4F8-9969-4A60-A8CE-16D1B4591EA7,OCCUPANT,UNSPECIFIED,20062921.0,50.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-09-15,22:00:00,2021-09-15 22:00:00,MANHATTAN,10036,40.757828,-73.99308,"(40.757828, -73.99308)",WEST 41 STREET,9 AVENUE,1.0,0.0,0,0,0,0,1,0,OTHER VEHICULAR,OTHER VEHICULAR,SEDAN,MOTORCYCLE,4457694,11949814,516E8706-7A92-4718-831E-591E3EBAB111,OCCUPANT,UNSPECIFIED,20062929.0,52.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-09-17,09:15:00,2021-09-17 09:15:00,QUEENS,11375,40.720375,-73.855515,"(40.720375, -73.855515)",YELLOWSTONE BOULEVARD,EXETER STREET,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,DRIVER INEXPERIENCE,SEDAN,E-BIKE,4458141,11952340,FF4793DE-9389-498B-AEF8-CDE554FB7391,OTHER MOTORIZED,UNSPECIFIED,20064444.0,28.0,EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-12-18,13:00:00,2021-12-18 13:00:00,BRONX,10468,40.869114,-73.89464,"(40.869114, -73.89464)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,SEDAN,,4488224,12067223,060B51E7-B4E4-45EC-AAB1-155D238CF7CB,OCCUPANT,UNSPECIFIED,,,,,,,,,WITNESS,,2021,MOTORIST
2021-04-29,20:30:00,2021-04-29 20:30:00,QUEENS,11375,40.71679,-73.83274,"(40.71679, -73.83274)",77 AVENUE,113 STREET,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4411810,11762121,DB95EAA4-4C85-4AE7-8841-4F5B303CEC61,OCCUPANT,UNSPECIFIED,19952962.0,47.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-04-29,20:58:00,2021-04-29 20:58:00,BROOKLYN,11208,40.683105,-73.874115,"(40.683105, -73.874115)",FULTON STREET,EUCLID AVENUE,0.0,0.0,0,0,0,0,0,0,DRIVER INEXPERIENCE,UNSPECIFIED,SEDAN,BOX TRUCK,4411934,11858429,3260C631-8AD0-4253-9E12-F7C0BBB3177A,OCCUPANT,UNSPECIFIED,20009515.0,21.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2021,MOTORIST
2021-04-29,07:58:00,2021-04-29 07:58:00,BROOKLYN,11226,40.653774,-73.95617,"(40.653774, -73.95617)",LENOX ROAD,BEDFORD AVENUE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,STATION WAGON/SPORT UTILITY VEHICLE,,4411779,11784075,5B474344-3967-4F1B-A7D6-DC50239724AA,OCCUPANT,UNSPECIFIED,19965670.0,27.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2021,MOTORIST
2022-04-24,11:45:00,2022-04-24 11:45:00,QUEENS,11354,40.766884,-73.82396,"(40.766884, -73.82396)",34 AVENUE,PARSONS BOULEVARD,0.0,0.0,0,0,0,0,0,0,BACKING UNSAFELY,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4521545,12195159,3B1149E7-9C71-46B3-BA29-A820F5DED3C2,OCCUPANT,UNSPECIFIED,20204705.0,23.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2022,MOTORIST
2021-05-01,00:02:00,2021-05-01 00:02:00,QUEENS,11004,40.740128,-73.704414,"(40.740128, -73.704414)",265 STREET,83 AVENUE,4.0,0.0,0,0,0,0,4,0,UNSAFE SPEED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4412222,11854894,249365EF-862F-4039-8062-29B21A4B5332,OCCUPANT,UNSPECIFIED,20007418.0,,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-09-14,03:00:00,2021-09-14 03:00:00,NONE,,40.879578,-73.879,"(40.879578, -73.879)",BAINBRIDGE AVENUE,,0.0,0.0,0,0,0,0,0,0,UNSAFE LANE CHANGING,UNSAFE LANE CHANGING,SEDAN,SEDAN,4459202,11956632,E12B7132-3B0A-42FC-ABB7-16D9C7086D66,OCCUPANT,UNSPECIFIED,20066962.0,27.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-09-18,00:00:00,2021-09-18 00:00:00,QUEENS,11372,40.746956,-73.890305,"(40.746956, -73.890305)",,,0.0,0.0,0,0,0,0,0,0,BACKING UNSAFELY,UNSPECIFIED,SEDAN,,4459032,11956751,3E1645B2-12D7-45A6-8E8B-9B079A0EEE04,OCCUPANT,UNSPECIFIED,20067034.0,54.0,,,,,,,REGISTRANT,M,2021,MOTORIST
